Timestamp_log,Source IP,Destination IP,IP_ID_hex,IP_ID_dec,IP_Checksum_hex,IP_Checksum_dec,Source Port,Destination Port,UDP_Checksum_hex,UDP_Checksum_dec,MCS,Timestamp_iperf,Timestamp_iperf_hex,Sequence_num_iperf,Sequence_num_iperf_hex
13:27:46.641,10.11.15.130,10.3.7.11,1a 95,6805,ef f9,61433,41166,1027,6d 79,28025,12,921099,00 0e 0e 0b,36,00 00 00 24
13:27:46.643,10.11.15.130,10.3.7.11,1a 96,6806,ef f8,61432,41166,1027,65 a9,26025,12,923098,00 0e 15 da,37,00 00 00 25
13:27:46.645,10.11.15.130,10.3.7.11,1a 97,6807,ef f7,61431,41166,1027,5d d8,24024,18,925098,00 0e 1d aa,38,00 00 00 26
13:27:46.647,10.11.15.130,10.3.7.11,1a 98,6808,ef f6,61430,41166,1027,56 07,22023,12,927098,00 0e 25 7a,39,00 00 00 27
13:27:46.650,10.11.15.130,10.3.7.11,1a 99,6809,ef f5,61429,41166,1027,4a 4e,19022,12,930098,00 0e 31 32,40,00 00 00 28
13:27:46.652,10.11.15.130,10.3.7.11,1a 9a,6810,ef f4,61428,41166,1027,42 7c,17020,15,932099,00 0e 39 03,41,00 00 00 29
13:27:46.654,10.11.15.130,10.3.7.11,1a 9b,6811,ef f3,61427,41166,1027,3a ab,15019,13,934099,00 0e 40 d3,42,00 00 00 2a
13:27:46.657,10.11.15.130,10.3.7.11,1a 9c,6812,ef f2,61426,41166,1027,2e f2,12018,13,937099,00 0e 4c 8b,43,00 00 00 2b
13:27:46.659,10.11.15.130,10.3.7.11,1a 9d,6813,ef f1,61425,41166,1027,27 22,10018,19,939098,00 0e 54 5a,44,00 00 00 2c
13:27:46.661,10.11.15.130,10.3.7.11,1a 9e,6814,ef f0,61424,41166,1027,1f 50,8016,12,941099,00 0e 5c 2b,45,00 00 00 2d
13:27:46.664,10.11.15.130,10.3.7.11,1a 9f,6815,ef ef,61423,41166,1027,13 98,5016,12,944098,00 0e 67 e2,46,00 00 00 2e
13:27:46.666,10.11.15.130,10.3.7.11,1a a0,6816,ef ee,61422,41166,1027,0b c7,3015,15,946098,00 0e 6f b2,47,00 00 00 2f
13:27:46.668,10.11.15.130,10.3.7.11,1a a1,6817,ef ed,61421,41166,1027,03 f6,1014,15,948098,00 0e 77 82,48,00 00 00 30
13:27:46.671,10.11.15.130,10.3.7.11,1a a2,6818,ef ec,61420,41166,1027,f8 3c,63548,12,951098,00 0e 83 3a,49,00 00 00 31
13:27:46.673,10.11.15.130,10.3.7.11,1a a3,6819,ef eb,61419,41166,1027,f0 6b,61547,12,953098,00 0e 8b 0a,50,00 00 00 32
13:27:46.675,10.11.15.130,10.3.7.11,1a a4,6820,ef ea,61418,41166,1027,e8 9a,59546,15,955098,00 0e 92 da,51,00 00 00 33
13:27:46.678,10.11.15.130,10.3.7.11,1a a5,6821,ef e9,61417,41166,1027,dc e1,56545,9,958098,00 0e 9e 92,52,00 00 00 34
13:27:46.680,10.11.15.130,10.3.7.11,1a a6,6822,ef e8,61416,41166,1027,d5 0f,54543,12,960099,00 0e a6 63,53,00 00 00 35
13:27:46.682,10.11.15.130,10.3.7.11,1a a7,6823,ef e7,61415,41166,1027,cd 3f,52543,15,962098,00 0e ae 32,54,00 00 00 36
13:27:46.685,10.11.15.130,10.3.7.11,1a a8,6824,ef e6,61414,41166,1027,c1 85,49541,7,965099,00 0e b9 eb,55,00 00 00 37
13:27:46.687,10.11.15.130,10.3.7.11,1a a9,6825,ef e5,61413,41166,1027,b9 b4,47540,7,967099,00 0e c1 bb,56,00 00 00 38
13:27:46.689,10.11.15.130,10.3.7.11,1a aa,6826,ef e4,61412,41166,1027,b1 e3,45539,13,969099,00 0e c9 8b,57,00 00 00 39
13:27:46.692,10.11.15.130,10.3.7.11,1a ab,6827,ef e3,61411,41166,1027,a6 2a,42538,12,972099,00 0e d5 43,58,00 00 00 3a
13:27:46.694,10.11.15.130,10.3.7.11,1a ac,6828,ef e2,61410,41166,1027,9e 5a,40538,12,974098,00 0e dd 12,59,00 00 00 3b
13:27:46.696,10.11.15.130,10.3.7.11,1a ad,6829,ef e1,61409,41166,1027,96 88,38536,15,976099,00 0e e4 e3,60,00 00 00 3c
13:27:46.698,10.11.15.130,10.3.7.11,1a ae,6830,ef e0,61408,41166,1027,8e b7,36535,15,978099,00 0e ec b3,61,00 00 00 3d
13:27:46.701,10.11.15.130,10.3.7.11,1a af,6831,ef df,61407,41166,1027,82 fe,33534,12,981099,00 0e f8 6b,62,00 00 00 3e
13:27:46.703,10.11.15.130,10.3.7.11,1a b0,6832,ef de,61406,41166,1027,7b 2e,31534,12,983098,00 0f 00 3a,63,00 00 00 3f
13:27:46.705,10.11.15.130,10.3.7.11,1a b1,6833,ef dd,61405,41166,1027,73 5c,29532,7,985099,00 0f 08 0b,64,00 00 00 40
13:27:46.708,10.11.15.130,10.3.7.11,1a b2,6834,ef dc,61404,41166,1027,67 a4,26532,7,988098,00 0f 13 c2,65,00 00 00 41
13:27:46.710,10.11.15.130,10.3.7.11,1a b3,6835,ef db,61403,41166,1027,5f d3,24531,13,990098,00 0f 1b 92,66,00 00 00 42
13:27:46.712,10.11.15.130,10.3.7.11,1a b4,6836,ef da,61402,41166,1027,58 01,22529,16,992099,00 0f 23 63,67,00 00 00 43
